mgb,802.11ac_25,802.11ac_50,802.11ac_100,802.11ad_pro_25,802.11ad_pro_50,802.11ad_pro_100
5,6.507388788023846,6.003325688851289,5.5040815439263735,,,
10,8.478819776565036,8.841262163106382,8.786906841681459,69.72853550631928,65.13842212072998,60.10906591016703
20,17.83161921913979,18.11556662844763,18.02608927481305,69.72853550631928,65.13842212072998,60.10906591016703
30,26.384741172830637,26.70011848751244,26.40327508550193,69.88969822773865,65.37290412128641,60.40753041612327
40,34.40772660319945,34.873671287611174,34.24156785948357,70.11220412379099,65.63764790134346,60.75372496755631
50,,,,70.36788632393383,66.15793713625928,61.57374136578508
60,,,,71.41616405424985,67.5034468092192,63.44290210736946
70,,,,72.00104676605028,68.25817007518678,64.59529048262488
80,,,,80.6571761768446,78.94794728409227,76.55890035907463
90,,,,86.66650009042313,85.07760267872864,82.8263781515476
100,,,,89.94647290248393,92.06303360562583,91.50063828653936
