bw_type,cluster_size,ratio,bw
max,50,25,325.1425832046343
max,50,50,325.36561873472664
max,50,100,324.082274799687
max,100,25,324.72153227097095
max,100,50,326.119595433844
max,100,100,326.21012956419315
max,200,25,323.52025142933564
max,200,50,325.20370896134375
max,200,100,326.89363818211365
min,50,25,25.5717749776746
min,50,50,25.507645362201803
min,50,100,25.287174136982955
min,100,25,26.357929936506483
min,100,50,26.669453298719475
min,100,100,26.366850311976336
min,200,25,24.729572583254757
min,200,50,25.04547048444447
min,200,100,24.762997174987863
min_dl,50,25,26.12064324863499
min_dl,50,50,26.146893941913397
min_dl,50,100,26.10335285951144
min_dl,100,25,28.87831924716956
min_dl,100,50,29.331971800890084
min_dl,100,100,29.493292423450875
min_dl,200,25,30.259080950474562
min_dl,200,50,30.69971317074213
min_dl,200,100,31.087867712640218
min_ul,50,25,150.24052261027134
min_ul,50,50,134.68915358187846
min_ul,50,100,114.43220221249922
min_ul,100,25,122.93784885708911
min_ul,100,50,115.96567517747945
min_ul,100,100,97.60602931567323
min_ul,200,25,102.85950693968752
min_ul,200,50,96.47018020829991
min_ul,200,100,82.58294301401989
