type,cluster_size,ratio,antennae
gw,50,25,2.5986411065275417
gw,50,50,2.5084131504012426
gw,50,100,2.3923570820762743
gw,100,25,2.7612695492180315
gw,100,50,2.724374693477195
gw,100,100,2.603957884054294
gw,200,25,2.826974267968057
gw,200,50,2.807245703669299
gw,200,100,2.76428216592151
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.7176980540440838
relay,50,50,1.6813123139323463
relay,50,100,1.6219096531408566
relay,100,25,1.8130997803214244
relay,100,50,1.7939744148858845
relay,100,100,1.7525443801581524
relay,200,25,1.8796374013765318
relay,200,50,1.8666073335706657
relay,200,100,1.842371569736294
