bw_type,cluster_size,ratio,bw
max,50,25,325.1425832046343
max,50,50,325.36561873472664
max,50,100,324.082274799687
max,100,25,324.72153227097095
max,100,50,326.119595433844
max,100,100,326.21012956419315
max,200,25,323.52025142933564
max,200,50,325.20370896134375
max,200,100,326.89363818211365
min,50,25,29.58022888705167
min,50,50,29.566769723603674
min,50,100,29.44779942718186
min,100,25,29.056284556893377
min,100,50,29.342616497368947
min,100,100,28.964139829178805
min,200,25,27.089339014769664
min,200,50,27.288953296437825
min,200,100,26.89382040001507
min_dl,50,25,30.504989896432456
min_dl,50,50,30.6689060167863
min_dl,50,100,30.87687667224321
min_dl,100,25,32.42631274787944
min_dl,100,50,32.87747757316137
min_dl,100,100,33.12150001855492
min_dl,200,25,33.97599438598703
min_dl,200,50,34.289840679211366
min_dl,200,100,34.67891377304318
min_ul,50,25,150.24052261027134
min_ul,50,50,134.68915358187846
min_ul,50,100,114.43220221249922
min_ul,100,25,122.93784885708911
min_ul,100,50,115.96567517747945
min_ul,100,100,97.60602931567323
min_ul,200,25,102.85950693968752
min_ul,200,50,96.47018020829991
min_ul,200,100,82.58294301401989
