type,cluster_size,ratio,antennae
gw,50,25,3.5950012132977434
gw,50,50,3.6271032876003106
gw,50,100,3.598205306722364
gw,100,25,6.136614535418583
gw,100,50,6.52697400686611
gw,100,100,6.585310161106178
gw,200,25,11.529724933451641
gw,200,50,11.864375290292616
gw,200,100,12.77819175360159
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,1.750069169049156
relay,50,50,1.7276069451937102
relay,50,100,1.6987615478338653
relay,100,25,1.894901144640999
relay,100,50,1.8920627998255561
relay,100,100,1.8965840539840366
relay,200,25,2.0595937552459294
relay,200,50,2.06626913492346
relay,200,100,2.0981248883862134
