bw_type,cluster_size,ratio,bw
max,50,25,1373.0958129280798
max,50,50,1377.34021094903
max,50,100,1367.095645183047
max,100,25,1369.512529778916
max,100,50,1382.0408990359022
max,100,100,1387.5673015010118
max,200,25,1358.7916747467316
max,200,50,1372.301814551933
max,200,100,1390.8678014355273
min,50,25,70.11220412379099
min,50,50,65.63764790134346
min,50,100,60.75372496755631
min,100,25,43.71257998323262
min,100,50,42.17315436043658
min,100,100,40.728044914081764
min,200,25,39.50146517888321
min,200,50,39.96597231792204
min,200,100,40.215002288458386
min_dl,50,25,70.28404831101854
min_dl,50,50,65.81995498395204
min_dl,50,100,60.896909954976266
min_dl,100,25,43.85675240097225
min_dl,100,50,42.36278285504165
min_dl,100,100,40.96426735445969
min_dl,200,25,40.820640993789624
min_dl,200,50,41.402461531259185
min_dl,200,100,41.862302614981736
min_ul,50,25,639.4493772418077
min_ul,50,50,571.9521489840082
min_ul,50,100,483.4454932460445
min_ul,100,25,525.2233450114198
min_ul,100,50,494.86768185941764
min_ul,100,100,415.96187409236904
min_ul,200,25,440.42681725518304
min_ul,200,50,412.76501315761374
min_ul,200,100,353.1567112038315
