#,nodes,n_gw,cost,algo,cost_customer,5ymontlycostcustomer,type_cost,area,ratio,cluster_size,time,seed
0,268,1,44500.0,dijkstra,126.06232294617564,2.1010387157695942,router_cost,fauglia,25,200,17128264335,50
1,268,1,146600.0,dijkstra,415.2974504249292,6.92162417374882,deploy,fauglia,25,200,17128264335,50
2,268,1,162663.0,dijkstra,460.80169971671387,7.680028328611898,radio_cost,fauglia,25,200,17128264335,50
3,268,1,11709.188000000002,dijkstra,33.17050424929179,0.5528417374881965,fiber_cost,fauglia,25,200,17128264335,50
4,276,1,57500.0,dijkstra,162.88951841359773,2.7148253068932955,router_cost,fauglia,25,200,17128264135,50
5,276,1,167500.0,dijkstra,474.5042492917847,7.908404154863078,deploy,fauglia,25,200,17128264135,50
6,276,1,194867.0,dijkstra,552.0311614730878,9.200519357884795,radio_cost,fauglia,25,200,17128264135,50
7,276,1,2982.7900000000004,dijkstra,8.449830028328613,0.14083050047214354,fiber_cost,fauglia,25,200,17128264135,50
8,264,1,45000.0,dijkstra,128.93982808022923,2.1489971346704873,router_cost,fauglia,25,200,17128262651,50
9,264,1,145500.0,dijkstra,416.9054441260745,6.948424068767909,deploy,fauglia,25,200,17128262651,50
10,264,1,161785.0,dijkstra,463.56733524355303,7.726122254059217,radio_cost,fauglia,25,200,17128262651,50
11,264,1,6907.06,dijkstra,19.791002865329514,0.3298500477554919,fiber_cost,fauglia,25,200,17128262651,50
12,271,1,46500.0,dijkstra,131.35593220338984,2.189265536723164,router_cost,fauglia,25,200,17128264267,50
13,271,1,150600.0,dijkstra,425.4237288135593,7.090395480225989,deploy,fauglia,25,200,17128264267,50
14,271,1,163402.0,dijkstra,461.5875706214689,7.693126177024482,radio_cost,fauglia,25,200,17128264267,50
15,271,1,3407.6839999999997,dijkstra,9.626225988700565,0.1604370998116761,fiber_cost,fauglia,25,200,17128264267,50
16,274,1,47000.0,dijkstra,132.02247191011236,2.2003745318352057,router_cost,fauglia,25,200,17128262453,50
17,274,1,152800.0,dijkstra,429.2134831460674,7.153558052434456,deploy,fauglia,25,200,17128262453,50
18,274,1,164441.0,dijkstra,461.9129213483146,7.698548689138577,radio_cost,fauglia,25,200,17128262453,50
19,274,1,13953.637999999999,dijkstra,39.19561235955056,0.6532602059925093,fiber_cost,fauglia,25,200,17128262453,50
20,276,1,57000.0,dijkstra,162.39316239316238,2.7065527065527064,router_cost,fauglia,25,200,17128263656,50
21,276,1,166200.0,dijkstra,473.5042735042735,7.891737891737892,deploy,fauglia,25,200,17128263656,50
22,276,1,187813.0,dijkstra,535.079772079772,8.917996201329535,radio_cost,fauglia,25,200,17128263656,50
23,276,1,6465.18,dijkstra,18.41931623931624,0.306988603988604,fiber_cost,fauglia,25,200,17128263656,50
24,272,1,51000.0,dijkstra,144.0677966101695,2.401129943502825,router_cost,fauglia,25,200,17128265208,50
25,272,1,157200.0,dijkstra,444.06779661016947,7.401129943502824,deploy,fauglia,25,200,17128265208,50
26,272,1,175688.0,dijkstra,496.29378531073445,8.27156308851224,radio_cost,fauglia,25,200,17128265208,50
27,272,1,6934.868000000001,dijkstra,19.59002259887006,0.3265003766478343,fiber_cost,fauglia,25,200,17128265208,50
28,275,1,44000.0,dijkstra,125.35612535612536,2.089268755935423,router_cost,fauglia,25,200,17128263926,50
29,275,1,147400.0,dijkstra,419.9430199430199,6.999050332383665,deploy,fauglia,25,200,17128263926,50
30,275,1,157709.0,dijkstra,449.3133903133903,7.488556505223172,radio_cost,fauglia,25,200,17128263926,50
31,275,1,11709.188000000002,dijkstra,33.35950997150998,0.5559918328584996,fiber_cost,fauglia,25,200,17128263926,50
32,269,1,47500.0,dijkstra,137.28323699421966,2.288053949903661,router_cost,fauglia,25,200,17128264671,50
33,269,1,149900.0,dijkstra,433.2369942196532,7.220616570327553,deploy,fauglia,25,200,17128264671,50
34,269,1,170983.0,dijkstra,494.17052023121386,8.236175337186898,radio_cost,fauglia,25,200,17128264671,50
35,269,1,6612.3060000000005,dijkstra,19.11071098265896,0.3185118497109827,fiber_cost,fauglia,25,200,17128264671,50
36,288,1,51000.0,dijkstra,144.88636363636363,2.414772727272727,router_cost,fauglia,25,200,17128264943,50
37,288,1,161400.0,dijkstra,458.52272727272725,7.642045454545454,deploy,fauglia,25,200,17128264943,50
38,288,1,179888.0,dijkstra,511.04545454545456,8.517424242424243,radio_cost,fauglia,25,200,17128264943,50
39,288,1,6934.868000000001,dijkstra,19.70132954545455,0.3283554924242425,fiber_cost,fauglia,25,200,17128264943,50
40,266,1,45000.0,dijkstra,126.7605633802817,2.1126760563380285,router_cost,fauglia,25,200,17128264202,50
41,266,1,147300.0,dijkstra,414.92957746478874,6.915492957746479,deploy,fauglia,25,200,17128264202,50
42,266,1,165429.0,dijkstra,465.99718309859156,7.766619718309859,radio_cost,fauglia,25,200,17128264202,50
43,266,1,9398.098,dijkstra,26.473515492957745,0.4412252582159624,fiber_cost,fauglia,25,200,17128264202,50
44,288,1,52000.0,dijkstra,146.89265536723164,2.448210922787194,router_cost,fauglia,25,200,17128264474,50
45,288,1,163700.0,dijkstra,462.42937853107344,7.707156308851224,deploy,fauglia,25,200,17128264474,50
46,288,1,189086.0,dijkstra,534.1412429378531,8.902354048964218,radio_cost,fauglia,25,200,17128264474,50
47,288,1,11709.188000000002,dijkstra,33.07680225988701,0.5512800376647835,fiber_cost,fauglia,25,200,17128264474,50
48,286,1,48500.0,dijkstra,137.00564971751413,2.2834274952919023,router_cost,fauglia,25,200,17128264402,50
49,286,1,157900.0,dijkstra,446.045197740113,7.434086629001883,deploy,fauglia,25,200,17128264402,50
50,286,1,175278.0,dijkstra,495.135593220339,8.25225988700565,radio_cost,fauglia,25,200,17128264402,50
51,286,1,10381.372,dijkstra,29.325909604519772,0.48876516007532955,fiber_cost,fauglia,25,200,17128264402,50
52,269,1,42000.0,dijkstra,120.34383954154728,2.005730659025788,router_cost,fauglia,25,200,17128262920,50
53,269,1,142800.0,dijkstra,409.16905444126076,6.819484240687679,deploy,fauglia,25,200,17128262920,50
54,269,1,155909.0,dijkstra,446.730659025788,7.445510983763133,radio_cost,fauglia,25,200,17128262920,50
55,269,1,6969.448,dijkstra,19.969765042979944,0.33282941738299904,fiber_cost,fauglia,25,200,17128262920,50
56,277,1,53000.0,dijkstra,149.29577464788733,2.488262910798122,router_cost,fauglia,25,200,17128265478,50
57,277,1,161800.0,dijkstra,455.77464788732397,7.5962441314554,deploy,fauglia,25,200,17128265478,50
58,277,1,181637.0,dijkstra,511.65352112676055,8.527558685446008,radio_cost,fauglia,25,200,17128265478,50
59,277,1,3334.22,dijkstra,9.392169014084507,0.1565361502347418,fiber_cost,fauglia,25,200,17128265478,50
60,282,1,52000.0,dijkstra,146.06741573033707,2.434456928838951,router_cost,fauglia,25,200,17128262786,50
61,282,1,162200.0,dijkstra,455.6179775280899,7.593632958801499,deploy,fauglia,25,200,17128262786,50
62,282,1,187125.0,dijkstra,525.6320224719101,8.760533707865168,radio_cost,fauglia,25,200,17128262786,50
63,282,1,9007.824000000002,dijkstra,25.302876404494388,0.42171460674157313,fiber_cost,fauglia,25,200,17128262786,50
64,283,1,51000.0,dijkstra,146.97406340057637,2.4495677233429394,router_cost,fauglia,25,200,17128263722,50
65,283,1,158400.0,dijkstra,456.4841498559078,7.608069164265129,deploy,fauglia,25,200,17128263722,50
66,283,1,174583.0,dijkstra,503.12103746397696,8.385350624399615,radio_cost,fauglia,25,200,17128263722,50
67,283,1,10618.686,dijkstra,30.601400576368874,0.5100233429394813,fiber_cost,fauglia,25,200,17128263722,50
68,280,1,50000.0,dijkstra,141.643059490085,2.3607176581680833,router_cost,fauglia,25,200,17128263055,50
69,280,1,157900.0,dijkstra,447.3087818696884,7.455146364494806,deploy,fauglia,25,200,17128263055,50
70,280,1,177788.0,dijkstra,503.64872521246457,8.394145420207742,radio_cost,fauglia,25,200,17128263055,50
71,280,1,6934.868000000001,dijkstra,19.64551841359774,0.32742530689329563,fiber_cost,fauglia,25,200,17128263055,50
72,274,1,45000.0,dijkstra,126.7605633802817,2.1126760563380285,router_cost,fauglia,25,200,17128263989,50
73,274,1,149700.0,dijkstra,421.6901408450704,7.028169014084507,deploy,fauglia,25,200,17128263989,50
74,274,1,162297.0,dijkstra,457.17464788732394,7.619577464788732,radio_cost,fauglia,25,200,17128263989,50
75,274,1,10353.564,dijkstra,29.16496901408451,0.4860828169014085,fiber_cost,fauglia,25,200,17128263989,50
76,273,1,46500.0,dijkstra,133.6206896551724,2.227011494252874,router_cost,fauglia,25,200,17128263393,50
77,273,1,150300.0,dijkstra,431.8965517241379,7.198275862068965,deploy,fauglia,25,200,17128263393,50
78,273,1,169095.0,dijkstra,485.9051724137931,8.098419540229886,radio_cost,fauglia,25,200,17128263393,50
79,273,1,15330.418,dijkstra,44.052925287356324,0.7342154214559388,fiber_cost,fauglia,25,200,17128263393,50
80,275,1,54000.0,dijkstra,152.54237288135593,2.542372881355932,router_cost,fauglia,25,200,17128263457,50
81,275,1,162300.0,dijkstra,458.47457627118644,7.641242937853107,deploy,fauglia,25,200,17128263457,50
82,275,1,187652.0,dijkstra,530.090395480226,8.834839924670433,radio_cost,fauglia,25,200,17128263457,50
83,275,1,2746.526,dijkstra,7.75854802259887,0.12930913370998118,fiber_cost,fauglia,25,200,17128263457,50
84,277,1,48500.0,dijkstra,137.39376770538243,2.2898961284230404,router_cost,fauglia,25,200,17128263588,50
85,277,1,154900.0,dijkstra,438.8101983002833,7.313503305004722,deploy,fauglia,25,200,17128263588,50
86,277,1,170895.0,dijkstra,484.1218130311615,8.068696883852692,radio_cost,fauglia,25,200,17128263588,50
87,277,1,6907.06,dijkstra,19.56674220963173,0.32611237016052885,fiber_cost,fauglia,25,200,17128263588,50
88,273,1,49000.0,dijkstra,140.80459770114942,2.346743295019157,router_cost,fauglia,25,200,17128265144,50
89,273,1,152900.0,dijkstra,439.367816091954,7.3227969348659,deploy,fauglia,25,200,17128265144,50
90,273,1,165890.0,dijkstra,476.6954022988506,7.944923371647509,radio_cost,fauglia,25,200,17128265144,50
91,273,1,11709.188000000002,dijkstra,33.647091954023,0.5607848659003832,fiber_cost,fauglia,25,200,17128265144,50
92,276,1,55500.0,dijkstra,157.67045454545453,2.6278409090909087,router_cost,fauglia,25,200,17128262717,50
93,276,1,164100.0,dijkstra,466.1931818181818,7.769886363636363,deploy,fauglia,25,200,17128262717,50
94,276,1,185508.0,dijkstra,527.0113636363636,8.783522727272727,radio_cost,fauglia,25,200,17128262717,50
95,276,1,6907.06,dijkstra,19.622329545454548,0.3270388257575758,fiber_cost,fauglia,25,200,17128262717,50
96,261,1,44500.0,dijkstra,127.14285714285714,2.119047619047619,router_cost,fauglia,25,200,17128264068,50
97,261,1,143900.0,dijkstra,411.14285714285717,6.852380952380952,deploy,fauglia,25,200,17128264068,50
98,261,1,159041.0,dijkstra,454.40285714285716,7.573380952380952,radio_cost,fauglia,25,200,17128264068,50
99,261,1,3407.6839999999997,dijkstra,9.736239999999999,0.16227066666666665,fiber_cost,fauglia,25,200,17128264068,50
100,282,1,49500.0,dijkstra,139.83050847457628,2.330508474576271,router_cost,fauglia,25,200,17128265279,50
101,282,1,158100.0,dijkstra,446.6101694915254,7.443502824858757,deploy,fauglia,25,200,17128265279,50
102,282,1,173617.0,dijkstra,490.44350282485874,8.174058380414312,radio_cost,fauglia,25,200,17128265279,50
103,282,1,12911.314,dijkstra,36.4726384180791,0.607877306967985,fiber_cost,fauglia,25,200,17128265279,50
104,278,1,47000.0,dijkstra,134.6704871060172,2.24450811843362,router_cost,fauglia,25,200,17128263790,50
105,278,1,152500.0,dijkstra,436.9627507163324,7.282712511938873,deploy,fauglia,25,200,17128263790,50
106,278,1,172439.0,dijkstra,494.0945558739255,8.234909264565426,radio_cost,fauglia,25,200,17128263790,50
107,278,1,7382.121999999999,dijkstra,21.152212034383954,0.3525368672397326,fiber_cost,fauglia,25,200,17128263790,50
108,284,1,46500.0,dijkstra,133.2378223495702,2.2206303724928365,router_cost,fauglia,25,200,17128264807,50
109,284,1,153000.0,dijkstra,438.39541547277935,7.306590257879655,deploy,fauglia,25,200,17128264807,50
110,284,1,169029.0,dijkstra,484.32378223495704,8.072063037249285,radio_cost,fauglia,25,200,17128264807,50
111,284,1,6997.256,dijkstra,20.049444126074498,0.3341574021012416,fiber_cost,fauglia,25,200,17128264807,50
112,272,1,48500.0,dijkstra,137.00564971751413,2.2834274952919023,router_cost,fauglia,25,200,17128263190,50
113,272,1,153700.0,dijkstra,434.180790960452,7.236346516007533,deploy,fauglia,25,200,17128263190,50
114,272,1,165085.0,dijkstra,466.34180790960454,7.772363465160076,radio_cost,fauglia,25,200,17128263190,50
115,272,1,6907.06,dijkstra,19.511468926553672,0.32519114877589456,fiber_cost,fauglia,25,200,17128263190,50
116,264,1,51500.0,dijkstra,148.4149855907781,2.4735830931796348,router_cost,fauglia,25,200,17128263523,50
117,264,1,154000.0,dijkstra,443.80403458213254,7.396733909702209,deploy,fauglia,25,200,17128263523,50
118,264,1,176859.0,dijkstra,509.68011527377524,8.494668587896255,radio_cost,fauglia,25,200,17128263523,50
119,264,1,10602.322000000002,dijkstra,30.55424207492796,0.5092373679154659,fiber_cost,fauglia,25,200,17128263523,50
120,263,1,46500.0,dijkstra,132.47863247863248,2.207977207977208,router_cost,fauglia,25,200,17128262517,50
121,263,1,147300.0,dijkstra,419.65811965811963,6.994301994301995,deploy,fauglia,25,200,17128262517,50
122,263,1,169783.0,dijkstra,483.7122507122507,8.061870845204178,radio_cost,fauglia,25,200,17128262517,50
123,263,1,5597.93,dijkstra,15.948518518518519,0.2658086419753087,fiber_cost,fauglia,25,200,17128262517,50
124,283,1,46500.0,dijkstra,131.72804532577905,2.1954674220963173,router_cost,fauglia,25,200,17128263323,50
