type,cluster_size,ratio,antennae
gw,50,25,3.905120116476583
gw,50,50,4.030157908361377
gw,50,100,4.048271060570898
gw,100,25,7.183992640294388
gw,100,50,7.741539970573811
gw,100,100,7.880629202080426
gw,200,25,13.708961845607808
gw,200,50,14.149094287041338
gw,200,100,15.28862394436165
leaf,50,25,1.0
leaf,50,50,1.0
leaf,50,100,1.0
leaf,100,25,1.0
leaf,100,50,1.0
leaf,100,100,1.0
leaf,200,25,1.0
leaf,200,50,1.0
leaf,200,100,1.0
relay,50,25,2.1091641304681974
relay,50,50,2.0733680992627224
relay,50,100,2.0249695399373833
relay,100,25,2.3067117585848074
relay,100,50,2.2985353975868588
relay,100,100,2.284255067171636
relay,200,25,2.521851043590174
relay,200,50,2.514008543965824
relay,200,100,2.538401095303292
