#failed,mean_dijkstra_1,mean_dijkstra_2,mean_espfp_2,ci_dijkstra_1,ci_dijkstra_2,ci_espfp_2
0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.6499532680406866,0.8958545404208007,0.9770424061285241,0.009794253152112067,0.003945127173048122,0.0018218983887847919
2,0.40467200064170494,0.7245959729155113,0.8110224800233975,0.01150252740987354,0.010202082259417912,0.011137477715063912
3,0.27603510929316305,0.6031206518812596,0.7012338034883546,0.010296831316877255,0.01080452240280909,0.011414259594355077
4,0.17893825915764736,0.4617576248414259,0.537113609231633,0.009317790070570695,0.01282296478244035,0.014451409710490639
5,0.131942298283076,0.3947844401797827,0.4683446744878491,0.00794269078081018,0.012012655426547636,0.013608324269099512
6,0.09843084082659863,0.3213165511720984,0.3851182359720018,0.0066882136020673146,0.01158266022311629,0.013401645165646884
7,0.0703731545584479,0.2680572466208466,0.32193208048253347,0.005640871875931537,0.01087275338076193,0.012604157020264066
8,0.047156854511805894,0.20732894752199077,0.24863236919330806,0.00485969915406024,0.010583882056976628,0.0124772503836604
9,0.03641096732938753,0.18148696193553693,0.22024094494727053,0.004178937546681231,0.00978814660743803,0.011644614436647258
